Project Title,Student Display Name,Organization Name,Mentors,
Add support for arbitrary CPU and RAM in the ComputeService (jclouds-482),Iván Lomba,Apache Software Foundation,nacx,
Interactive Tutorial System for Julia and Juno,mgtlake,The Julia Language,"one-more-minute, Shashi Gowda",
Rust implementation of GNUnet utils,kc1212,GNU Project,Jeff Burdges,
Extending language support and adding OWASP Top 10 challenges to Container Engine,Anirudh Anand,OWASP Foundation,"antonis_man, Spyros",
Upgrading the FIB hash table of principals to the relativistic hash table,Sachin Paryani,Boston University / XIA,Qiaobin Fu,
Interprocedural Register Allocation in LLVM,Vivek Pandya,The LLVM Compiler Infrastructure,"Mehdi Amini, Hal Finkel",
Responsive Email Layout,Anjali Ujjainia,CiviCRM,"Siddharth Gupta, Xavier Dutoit",
Building a Better Beacon: Developing Supporting Tools for the Beacon Project,patmagee,Global Alliance for Genomics & Health,"miro, mfiume",
NASA Web World Wind - Multidimensional Visualization Tool for Environmental Variables,gabry501,OSGeo - The Open Source Geospatial Foundation,"Patrick Hogan, Jakub Balhar",
Improve sTeam,Siddhant085,FOSSASIA,"Martin Bähr, Trilok Tourani",
Implement Zoner Draw import filter,AlexP11223,LibreOffice,dtardon,
Blender Mantaflow Integration: Single Code Fluid Solver,sebbas,Blender Foundation,N_T,
coala: Decentralizing Bears,Adrianzatreanu,Python Software Foundation,"Makman2, Lasse Schuirmann (sils1297), Justus, AbdealiJKothari",
Move from Passwords to App Lock Mechanism,AlexFJW,OpenKeychain (OpenPGP for Android),Adithya Abraham Philip,
Mobile (and Web) Based Blood Analysis,Abdul Fatir,Computational Biology @ University of Nebraska-Lincoln,"Tom Helikar, Jiri Adamec",
Thunderbird - Implement mbox -> maildir converter,Shiva,Mozilla,mkmelin,
Lilypond - Allow spanners to cross voices,starrynte,GNU Project,Jan-Peter,
White Box and Regression Testing of the Mynewt OS,Nges Brian,Apache Software Foundation,"ccollins, mkiiskila",
Contact Development Team feature in DevStudio,Nathiesha,WSO2,"Jasintha, Kavith Lokuhewage",
Cycloidal rotor module improvements,kulluiitb,"MBDyn, Department of Aerospace Science and Technology at Politecnico di Milano","Giuseppe Quaranta, Louis",
Hibernate Search: JSR 352 batch job for re-indexing entities,mincongh,JBoss Community,"Gunnar Morling, emmanuelbernard",
"Babble improvements (editing, flagging, notifications, and other minor things)",xfix,Discourse,"gdpelican, Sam Saffron",
I/O API for NetBSD kernel Lua,Guilherme Salazar,LabLua,lourivalneto@gmail.com,
Making virsh more bash like,nishithshah2211,Libvirt,Michal Privoznik,
MyHDL : HDMI Source / Sink Modules,srivatsan_r,Python Software Foundation,"Christopher, tenthousandfailures, Oscar Diaz",
Statsmodels: Distributed Estimation and Statistical Inference for Regression,Leland Bybee,Python Software Foundation,"Kerby Shedden, Josef Perktold",
OSGeo GDAL DWG support,sandyre,OSGeo - The Open Source Geospatial Foundation,"evenrouault@gmail.com, BishopGIS",
1 Krita Canvas Decorations Compatible with Modern OpenGL,Nimmy,KDE,"Dmitry Kazako, Boudewijn Rempt",
Improving static analysis tools for MediaWiki,Lethe,Wikimedia Foundation,"Legoktm, Erik Bernhardson",
Unique Indexes for blobs,Shubham2,MariaDB,"serg, Jan Lindström",
Mozilla Investigator(MIG): Auditd integration,Arun,Mozilla,kang,
AMD IOMMU interrupt remapping and other improvements,asla,QEMU,"Jan Kiszka, vsinitsyn",
Improving GitHub CI,canihavesomecoffee,CCExtractor Development,Anshul,
Component Enhancement and Runtime Instantiation,Ashik,MIT Media Lab,Andrew McKinney,
New camera model and parallel processing for stitching pipeline,Jiri Horner,OpenCV,Bo Li,
High-performance P4 software switch using netmap,yuri,FreeBSD,Luigi Rizzo,
Semi-realtime MIDI,shoogle,MuseScore,Nicolas Froment,
Multistep methods for integrating trajectory in field,Dmitry,CERN SFT,John Apostolakis,
Enhance SAFECode’s Baggy Bounds Checking,Zhengyang Liu,The LLVM Compiler Infrastructure,John Criswell,
Integrate more open-source IP for lowRISC on FPGAs,diadatp,lowRISC,Wei Song,
To construct Bootstrapping Human Motion Data for Gesture Analysis,Aswin kumar J,Red Hen Lab,"owenhe, Francis Steen",
Improvements for Question Tool,HarshV,Berkman Center for Internet and Society,"Matt Zagaja, J S Diaz",
KDE Now,g33kyaditya,KDE,"mrphantom, Bhushan Shah",
Email Sending Framework,Ujjwal Wahi,CiviCRM,nganivet,
Proposal for Apache Open Meetings: OPENMEETINGS-1353,Dmitry.Bezheckov,Apache Software Foundation,"solomax, sebawagner@gmail.com",
Haskell Bindings to SymEngine,Siddharth Bhat,SymPy,"thilinarmtb, Ondřej Čertík, Shivam Vats, isuruf",
Base Class and Increased Efficiency for Equation of Motion Generators,jbm950,Python Software Foundation,"moorepants, theinertialframe",
DHIS - Tracker longitudinal Charting,Chathura,Health Information Systems Programme,"Roshan Hewapathirana, Pamod Amarakoon",
Porting OPTEE to lowRISC,rahulmahadev,lowRISC,Stefan Wallentowitz,
Predicting Criminal Moments with Hidden Markov Models,kebertx,Apache Software Foundation,"rvs, Suresh Marru",
Function argument detection,oddcoder,radare,"xvilka, pancake",
A complete end to end Font Editor Activity for Sugar,aku,Sugar Labs,"Eli Heuer, Dave Crossland",
Reporting stack traces on halt,panzone,Chapel,"Michael Ferguson, gbt-cray",
KStars Lite,polaris,KDE,Jasem Mutlaq,
A replacement of std.xml for the Phobos standard library,Lodovico Giaretta,D Foundation,burner,
Apertium Weighted Transfer Rules,tiefling-cat,The Apertium Project,"Mikel L. Forcada, Flammie, Francis Tyers",
Improve tooling for sTeam collaboration platform,Ajinkya Wavare,FOSSASIA,"Martin Bähr, Trilok Tourani",
Improving the Quality of Error Messages in PEG Parsers,MattG,LabLua,Sérgio Queiroz de Medeiros,
ownCloud App for metadata extraction from Images and Introducing Photo Calendar in Gallery,imjalpreet,ownCloud,oparoz,
Photo Language Translator (PLT),Rupinderjit Kaur,"Systers, an Anita Borg Institute Community","Saurabh Patel, SaumyaGurtu",
Show tag search results in Picard,rahulr,MetaBrainz Foundation,Michael Wiencek,
Identify scenes of Blended Classic Joint Attention (BCJA) in Red Hen’s video dataset,Debayan Das,Red Hen Lab,Mark Turner,
Carbon Footprint for Google Maps Firefox Port,Kolpa,Computational Science and Engineering at TU Wien,"Ekaterina, Bruno W P",
Ensemble Methods Support for WSO2 Machine Learner,Misgana,WSO2,"Supun, Nirmal Fernando",
NicheToolbox: from getting biodiversity data to evaluating species distribution models in a friendly GUI environment.,luismurao,R project for statistical computing,"jorgesoberon@gmail.com, narayaniku@gmail.com, Vijay Barve",
Improving playback in MuseScore by Johannes Wegener,hpfmn,MuseScore,wschweer,
Cycles: Texture system improvements and better user feedback,DingTo,Blender Foundation,Ton Roosendaal,
Implementation of Real-time Statistics in Zotonic,tex,Beam Community,Arjan Scherpenisse,
Notification issue,DishantK1807,FOSSASIA,"jancborchardt_, Aruna Herath, vuhung, Hpdang, Derek 呆, Sahil Bajaj",
Reactive and Adaptive Path Planning Using Sensor Feedback and Operator Input,Kentaro Wada,Open Source Robotics Foundation,shaunedwards@gmail.com,
Gentoo Keys Improvements and new MetaManifest system,aeroniero,Gentoo Foundation,"dastergon, robbat2, Kristian Fiskerstrand, dol-sen",
Fluent graphics across every tile level in Marble's OSM vector map,koldav,KDE,Dennis Nienhüser,
Programmatically Discover Data Center Topology,Michael Skalka,The Linux Foundation,"Chris Holcombe, ChrisMacNaughton",
Enhancing Language Learning using Mind the Word,ankit_m,Computational Science and Engineering at TU Wien,"Bruno W P, panditaomesh@gmail.com",
AcousticBrainz BigQuery data exploration,cetko,MetaBrainz Foundation,Alastair,
Tryton: Add CSV Import/Export to SAO Client,Prayash Mohapatra,Python Software Foundation,"ced, pokoli",
U-Boot on NetBSD,joed_,The NetBSD Foundation,"Jörg Sonnenberger, martin",
Adding search to more moodle components,devang_gaur,Moodle,David Monllaó,
Project: Adopting a language pair,Maria Sheyanova,The Apertium Project,"Rob Reynolds, Francis Tyers",
"Improving voice, video and chat communication with free software",Mesut Can Gurle,Debian Project,bmagalhaes,
Roundup,Anish Shah,Python Software Foundation,"soltysh, Terri Oda",
Smoke Tests and Continuous Integration Infrastructure for Apache Open Climate Workbench,Ibrahim Jarif,Apache Software Foundation,lewismc,
Continuous stabilization of Gentoo Packages,Pallav Agarwal,Gentoo Foundation,"bicatali, Nitin Agarwal",
GSOC 2016 - Typed Lua Core proposal,dtomek,LabLua,Andre,
TreeCloud Visualization tool,aleksandrachasch,Unitex/GramLab,Philippe Gambette,
In-Situ Simulation Management and Analysis Using Apache Airavata,jkinnison,Apache Software Foundation,"Marlon Pierce, Suresh Marru",
Modular Machine Learning and Classification Toolbox for ImageJ,Sumit Vohra,International Neuroinformatics Coordinating Facility,Dimiter P,
Hardware MJPEG encoding design for HDMI2USB.tv Firmware,Neurotic,TimVideos.us,Joel,
DynaPoint - A dynamic access point validator and creator for OpenWrt,Asco,Freifunk,"Dr.-Ing Thomas Hühn, Bastian Bittorf",
OWASP OWTF - Health Monitor,DarKnight--,OWASP Foundation,"Alexandra Sandulescu, Andres Morales, Abe, delta24",
Integration of Text Mining and Topic Modeling Tools,JanIdziak,R project for statistical computing,"Tomasz Melcer, Maciej Eder",
Web: Session Sync,Gabriel Ivașcu,GNOME,mcatanzaro,
Proposal of sunoru about Random Number Generators,sunoru,The Julia Language,Simon Byrne,
Optimize balancing speed by accounting for migration speed,Daniil Leshchev,Ganeti,oponomarev,
Implementation of the BeiDou signal tracking block for the GNSS-SDR Project,Enric Juan,gnss-sdr,lesteve,
Testing Automation,Daisy,"Systers, an Anita Borg Institute Community","nidhimj22, Systers, an Anita Borg Institute Community",
Add support for MacVenture games via WebVenture engine,blorente,ScummVM,John Willis,
Panic room - Take a deep breath,avengerf12,coreboot,"adurbin, Furquan",
Improved Shaders for OSM2World,Zabot,OpenStreetMap,"Tordanik, Basti",
"Vert.x Eventbus clients for Python,C#, C, and Rust applications",Jayamine Alupotha,Vert.x,"Julien Viet, Paulo Lopes",
libebuild,den4ix,Gentoo Foundation,radhermit,
Visualizing Joint Solutions in Descartes,jontromanab,Open Source Robotics Foundation,shaunedwards@gmail.com,
G-Clouds,Tharindu Munasinghe,Sustainable Computing Research Group ( SCoRe ),Charitha Elvitigala,
PnP Algorithms toolkit for MRPT,Chandra,Mobile Robot Programming Toolkit (MRPT),"famoreno, jesusbriales",
Ring project,G4suleg,Debian Project,"alexandrelision@gmail.com, Yomgui",
[scikit-learn] Addition of various enhancements to the tree module by completing stalled pull requests.,nelsonliu,Python Software Foundation,"jmschr, Raghav R V",
"Exposing The PRU as an I2C,SPI,UART device",chanakya_vc,BeagleBoard.org,"mdp, bradfa",
Improving Discussion Threads and UI/UX of Apache Allura,rhnvrm,Apache Software Foundation,"Dave Brondsema, Heith",
"Implementation of “Tinykdump”, an improved tool to replace kdump",Ronit Halder,Fedora Project,"CAI Qian, Corey ' linuxmodder' Sheldon",
Web: Bookmarks Subsystem Update,Iulian Radu,GNOME,mcatanzaro,
Sergey Khegay,Sergey,Nmap Security Scanner,ithilgore,
Malaria Prevention Application Proposal (Android),yatna,"Systers, an Anita Borg Institute Community","Leroi, Nicki Hutchens, Ankita Kalra",
Plugin generation GUI with visual interface designer,septen,Open Ephys,Josh Siegle,
Modular Abelian Variety,klui,Sage Mathematical Software System,"tscholl2, William A. Stein",
Extending Cytoscape.js: Addition of Clustering Algorithms,Zoe,National Resource for Network Biology (NRNB),Mike Kucera,
Extensive Test Suite for TARDIS,Karan Desai,TARDIS-SN,"slietzau, Ulrich Noebauer",
Apache VXQuery - Fully integrate Lucene Indexing into VXQuery,Menaka,Apache Software Foundation,Steven Jacobs,
Cleanup ffcall,Prasad_arun,GNU Project,Avneet,
Student Application - Lucas Moura,lucasmoura,Debian Project,Antonio Terceiro,
BRL-CAD Web Infrastructure Update,sniok,BRL-CAD,Shubham Chauhan,
CiviBooking 2.0,timothyylim,CiviCRM,"Guanhuan Chen, Matt Lind",
Extended support for mean-payoff properties,christopherZ,PRISM Model Checker,"Jan  Kretinsky, Vojtech Forejt",
Complete basic cartography suite in GRASS GIS wxGUI Map Display,ad.laza32,OSGeo - The Open Source Geospatial Foundation,"Anna Petrasova, Vaclav Petras",
VXQUERY-178: Support JSONiq - add objects to the data model,Riyafa Abdul Hameed,Apache Software Foundation,Till,
Improve selftest coverage,psincraian,FFmpeg,"Timothy Gu, Reynaldo Verdejo, michaelni",
Bringing NetBSD to Microsoft Azure,Moroo Akira,The NetBSD Foundation,"Jörg Sonnenberger, martin",
Add Python 3 support and type hints,eklavya,Zulip Open Source Project,tabbott,
Implementation of a framework which supports addition of contraction techniques for pgRouting.,Sankepally Rohith Reddy,OSGeo - The Open Source Geospatial Foundation,"dkastl, Vicky Vergara",
LSB Navigator,Mikhail Kraev,The Linux Foundation,"Vadim, Denis Silakov",
Pagure,Farhaan Bukhsh,Fedora Project,Pierre-Yves Chibon,
Python bindings for the DUNE grid interface,Michaël Sghaïer,Distributed and Unified Numerics Environment (DUNE),"Andreas Dedner, Martin Nolte",
Natural Language Query Interface,Prateek_Goel,vitrivr,Ivan Giangreco,
P-BVH enhanced vertex painting,Nathan Vollmer,Blender Foundation,mont29,
"Visualizing Tool for Probabilistic Classification data in WEKA, RapidMiner, KNIME and R",Medha,Computational Science and Engineering at TU Wien,"Emma, bilalsal@gmail.com",
[SYNCOPE-808] Apache Syncope IDE plugin,Nuwan Sameera,Apache Software Foundation,Fabio Martelli,
Zeppelin Notebook Storage using P2P protocol,OnkarShedge,Apache Software Foundation,Alexander Bezzubov,
OpenSNP,mateusjabour,Open Bioinformatics Foundation,"Philipp Bayer, gedankenstuecke",
GoPro Broadcasting Using P2PSP On Android,sravan953,P2PSP.org,"josman, Vicente González",
Apache SYNCOPE-809,Tushar,Apache Software Foundation,Francesco Chicchiriccò,
Hardware-accelerated media decoding on Android,AbdulRauf,GPAC,"rbouqueau, RodolpheFouquet",
Rewrite Hydra to be more integrated with Guix,mthl,GNU Project,"David Thompson, ludo",
Cap'n Proto RPC implementation by wrapping c++,NemoNoboru,Ruby,bai,
Development of a model for woody debris flooding hazard in GvSIG,Silvia Franceschi,OSGeo - The Open Source Geospatial Foundation,"Riccardo Rigon, moovida",
Implement basic rendering for Direct3D Retained mode,jam,The Wine Project,"Stefan Dösinger, André Hentschel",
Project Proposal for IoT server,tharidu,Sustainable Computing Research Group ( SCoRe ),"Charitha Elvitigala, Kasun",
GSoC: Pocket Code Usability improvements,RobertR,Catrobat,"Bernadette, Robert Painsi, Marko",
Aggregate Stored Funtions,varun_raiko,MariaDB,"Vicențiu Ciorbaru, Oleksandr ""Sanja"" Byelkin",
FMI model exchange and co-simulation standard,darkrai,"MBDyn, Department of Aerospace Science and Technology at Politecnico di Milano","mm, Pierangelo Masarati",
Scrapinghub Splash: Web Scraping Helpers,mike1808,Python Software Foundation,"kmike, ptremberth, dshpektorov",
Open-Source Coding of Models of Microbial S-isotope Fractionation: Exploring Transdisciplinary Scientific Collaboration,jysi,McGill Space Institute,Boz,
Adding Enhancements to the Ginga Project,scheedella,OpenAstronomy,Eric Jeschke,
New Physics Model in Sixtrack package,vikasnt,CERN SFT,Riccardo De Maria,
Time Controls and Internet Activity Visualization,dphuang,Berkman Center for Internet and Society,RHJ,
Inferring infobox template class mappings from Wikipedia + Wikidata,Peng_Xu,dbpediaspotlight,"Nilesh, Domenico Potena",
gRPC python 3.0 and PyPy,Thunderboltsid,gRPC,"atash, Nathaniel Manista",
CONIKS for Tor Messenger,Vu Huy,The Tor Project,arlolra,
Improve Search Feature in Gnome Logs,Pranav Ganorkar,GNOME,David King,
Api to link /dev entries to sysctl nodes,kiloreux,FreeBSD,"Eitan Adler, Jean-Sébastien Pédron",
GSOC'16 Proposal [Fedora-CommOps],Sachin S Kamath,Fedora Project,decause,
Proposed Summer Project,quixotic,MIT Media Lab,Jeffrey Schiller,
Further work on the Visual C++ iostream library,Sulley,The Wine Project,Piotr,
Improving distributed and secure communication using free software,sim590,Debian Project,"aberaud, Yomgui",
Implementing Finite Fields and Set module in SymEngine,nishnik,SymPy,"thilinarmtb, sumith1896, Ondřej Čertík, isuruf",
App development for infectious microbial genomics,Gunjan Shrivastava,Stony Brook University Biomedical Informatics,Jonas Almeida,
Package Manager Proposal,Peter Cassetta,Blender Foundation,Sybren,
Java source code to Scala.js IR compiler,Piotr Moczurad,Scala,Sébastien Doeraene,
Gesture Recognition Using Machine Learning,Abhinav Mehta,Red Hen Lab,Francis Steen,
Better use on boarding/first time user experience,Arushi Dogra,Indic Project,Jishnu,
Lightcurve modelling with Icarus,Akshay Narasimha,McGill Space Institute,Kelly L,
Android SDK Tools in Debian,Mouaad,Debian Project,Hans-Christoph Steiner,
Enhancements in the CLTK webapp,suheb,Classical Language Toolkit,"Luke Hollis, Rob_Jenson",
TMVA Project in Machine Learning,Abhinav Moudgil,CERN SFT,"Omar Zapata, Sergei Gleyzer",
Using JPF to efficiently compute workload in Multi-Agent Systems,JaneOL,Java Pathfinder Team,"Franco Raimondi, neharungta, Eric Mercer",
HD Audio device model in userspace for bhyve,Alex Teaca,FreeBSD,"Alexander Motin, Peter Grehan",
Improve Open Event Flask Application and create APIs that write data to the Organizer Server,shivamMg,FOSSASIA,"Aruna Herath, victoriabondarchuk@gmail.com, triplez, Duke Leto, Abhishek Batra, MarioB, Elio Qoshi, Oren Golan",
Weston output management enhancements,Armin Krezović,Wayland,"pq, Quentin “Sardem FF7” Glidic",
Motion-based Retrieval: Feature Extraction,zydu,vitrivr,Claudiu Tanase,
ITALIAN MARS SOCIETY : Implementing the Health Index Feature for the Health Monitor of V-ERAS,Shubham_Singh,Python Software Foundation,"mtambos, astratto, Antonio",
Integration of IFTTT support to Wikidata,d3r1ck,Wikimedia Foundation,"slaporte, Marius Hoch (hoo), samtar, Lydia Pintscher (WMDE), Bene*",
Refactoring and optimizing model construction for the explicit engine,Maximilian Probst,PRISM Model Checker,"Dave Parker, mceska",
openSNP: Extending Quantified-Self Support in openSNP,gdyer,Open Bioinformatics Foundation,"Philipp Bayer, gedankenstuecke",
Bourne-shell compiler front-end for Guile,Efraim,GNU Project,"bavier, ludo",
GPU support for compressed deep learning networks,Amberosti,CERN SFT,"Lorenzo Moneta, Sergei Gleyzer",
Improvement of vectorization process in Polly,groman,The LLVM Compiler Infrastructure,Tobias Grosser,
Cohort Module Enhancements,bholagabbar,OpenMRS,"maimoona, SharonVarghese",
Audio/Video sync mechanism,qiubit,VideoLAN / VLMC Project,j-b,
Adding Incompressible Fluids EOS to FPROPS,vishnuv,ASCEND,"John Pye, maheshbv",
Scrapinghub: Frontera Python 3 Support,Preetwinder,Python Software Foundation,"kmike, ptremberth, Alexander Sibiryakov",
Animint,Faizan Khan,R project for statistical computing,"Carson Sievert, Toby Dylan Hocking",
Plugin Mechanism for thread schedulers in HPX,satyaki3794,The STE||AR Group,hendrx,
A complete photogrammetric OSSIM tool for automatic DSMs generation using multi-view optical and SAR images,martidi,OSGeo - The Open Source Geospatial Foundation,"drb, Oscar Kramer",
DBpedia Lookup Improvements,Kunal.Jha,dbpediaspotlight,"Sandro, Dimitris Kontokostas, Axel Ngonga",
A Core Datamodel for PySAL,ljwolf,Python Software Foundation,"Carson Farmer, Philip Stephens",
Spatial Data Extensions via Dynamic Datawarehousing,Archit Taneja,"Biomedical Informatics, Emory University",Ashish Sharma,
"Extending SPF with handling of symbolic arrays, and implementing a replay module",afromherz,Java Pathfinder Team,"Corina, Luckow",
PCP versions of console tools,Sitaram Shelke,Performance Co-Pilot,"mgoodwin, kenj, rdoyle",
Minuet Mobile,Ayush Shah,KDE,Sandro Santos Andrade,
Improvement of the dense optical flow algorithm,VladX,OpenCV,ethanrublee@gmail.com,
Implementing a Denoising Filter in Cycles,Lukas Stockner,Blender Foundation,Sergey Sharybin,
Displaying SUBSURFACE features in the virtual world using NASA's WorldWind,Devansh T Shah,Portland State University,Percy,
Tiled Integration with KivEnt,udiboy1209,Python Software Foundation,"Akshay Arora, Kovak, Tito",
Efficient dense optical flow,Alexander Bokov,OpenCV,Maksim Shabunin,
File Gateway on Top of WSO2 Gateway,Danushka,WSO2,"viraj senevirathne, Kasun Indrasiri",
Test scheduling for large test suites,dimcho,JBoss Community,"Bartosz Majsak, Aslak Knutsen",
Advanced Searching and Sorting Tool for publiclab.org,Ujitha Perera,Public Lab,"davidcdays@gmail.com, Bryan Bonvallet",
Improved Tools for Genetic Diversity Modelling,wlong799,Canadian Centre for Computational Genomics (C3G) - Montreal node,Simon Gravel,
Extending Matroid Theory functionality,Tara,Sage Mathematical Software System,"yomcat, Stefan van Zwam",
Onco Query Language (OQL) editor,Shrumit Mehta,cBioPortal for Cancer Genomics,"Adam Abeshouse, Yichao",
Feature Completeness (Scratch),loibi93,Catrobat,"Markus Hobisch, Amix",
Umbrello: New Breath,Lays Rodrigues,KDE,"rhabacker, Jonathan Riddell",
Implementing a Python Utility Library for accessing PO.DAAC NASA JPL,Omkar Reddy,Apache Software Foundation,lewismc,
"Topic summaries, Canned Replies and Presence features",André Pereira,Discourse,"Neil Lalonde, techAPJ, ZogStriP",
VistSOS: the istSOS Data Visualization Framework,Felipe Poveda,OSGeo - The Open Source Geospatial Foundation,"Maxi, mantonovic",
Re-implement DHIS2 android data capture applications to use shared database,prempal,Health Information Systems Programme,"Araz Abishov, Erling",
Celluloid - Benchmarking and Performance Improvements,Prathmesh Ranaut,Celluloid,"chuckremes, Dmytro Milinevskyi, ioquatix, //de",
MyHDL : Leros tiny processor,Pranjal Agrawal,Python Software Foundation,"Christopher, Oscar Diaz, Martin Schoeberl",
GCC - Replace Libiberty with Gnulib,Ayush Goel,GNU Project,Manuel Lopez-Ibanez,
Porting Rock to RTEMS,Sambeet Panigrahi,RTEMS Project,"Joel Sherrill, Gedare, 2maz",
Disk Removal Safety Utility for Ceph,0X1A,The Linux Foundation,"Chris Holcombe, ChrisMacNaughton",
TCP/IP Regression Test Suite,Shivansh Rai,FreeBSD,Hiren Panchasara,
Implement a Map/Reduce Framework,aalekhn,The STE||AR Group,diehlpk,
Developing RV32G Processor Model,Pavani Tripathi,ArchC,"Rafael Auler, srigo",
Moduli Space of Dynamical Systems,Rebecca Lauren Miller,Sage Mathematical Software System,Benh,
Native Julia implementations of iterative solvers for numerical linear algebra,lopezm,The Julia Language,Jiahao Chen,
Materials Science Advances in Avogadro 2,psavery,Open Chemistry,Marcus D. Hanwell,
Implement boolean operations on polygons,Amr Mohamed,GNU Octave,"JuanPi, John Swensen",
Multithread Centiscape (#55),ibestvina,National Resource for Network Biology (NRNB),giovanniscardoni@gmail.com,
Celluloid - Adding new features to Reel,pulkit4tech,Celluloid,"Kenichi, //de",
Redesigning the Template Manager,Akshay Deep,LibreOffice,"jphilipz, Samuel Mehrbrodt",
Application for the collaboration in the project »Modular energy hub modelling framework« as part of Google Summer of Code,Jazzpilz,"Urban Energy Systems Laboratory, Empa","Julien_Empa, REvins",
Data-Agnostic Visualization Widgets [Internet Monitor Dashboard],maarouf,Berkman Center for Internet and Society,Reinhard Engels,
Parsers and Extension of proof compression algorithms from propositional to first-order logic,Ezequiel,AOSSIE - The Australian National University's Open-Source Software Innovation and Education,"Katya, Bruno Woltzenlogel Paleo",
Open Event Web and Mobile App,championswimmer,FOSSASIA,"victoriabondarchuk@gmail.com, triplez, Duke Leto, Abhishek Batra, MarioB, Elio Qoshi, Oren Golan",
Zeppelin Notebooks,anish18sun,Apache Software Foundation,moon,
Zulip Android Application Rebuild,kunall17,Zulip Open Source Project,Lisa Neigut,
Implement overall change tracking in OSEM,nishanthvijayan,FOSDEM VZW,"Stella Rouzi (differentreality), RichiH",
Proposal of Redesign SETA,MikeLing,Mozilla,joelmaher@gmail.com,
Create a Telepathy Connection Manager for Ring protocol,Kavignon92,Debian Project,"alexandrelision@gmail.com, Yomgui",
Remote Output Storage for PyWPS,Vikas Mishra,OSGeo - The Open Source Geospatial Foundation,"Jachym Cepicky, Jonas Eberle",
Implementation of week view in GNOME Calendar,pandusonu,GNOME,feaneron,
Improvements to the Conditional Modeling Syntax,hugomg,ASCEND,John Pye,
GSoC 2016 Drupal Proposal: Media Solution Module,Vijay Nandwani,Drupal,Janez Urevc - slashrsm,
Implementing WPS for Geopaparazzi field data collection tool using ZOO-Project: Simplifying integration of field data and GIS,Niroshan,OSGeo - The Open Source Geospatial Foundation,"gfenoy@gmail.com, moovida",
SAML Assertion Query/Request Profile support for WSO2 Identity Server,Gayan Liyanaarachchi,WSO2,Omindu,
Jenkins 2.0 Web Interface Improvements: New Job Creation and Configuration,Samat Davletshin,Jenkins Project,"michaelneale@gmail.com, lanwen",
Visualization of model hyperparameter optimization curves,MasonGallo,R project for statistical computing,"Lars Kotthoff, berndbischl@googlemail.com",
Native Julia solvers for ordinary differential equations and  improvements to IVP testing suite,obiajulu,The Julia Language,"mauro3, Jiahao Chen",
Visualizing genomic alterations in TCGA cancer pathways in cBioPortal,Istemi Bahceci,National Resource for Network Biology (NRNB),Ugur Dogrusoz,
Testing Automation (Selenium using both Java and Python),Thyr Nat,"Systers, an Anita Borg Institute Community","SURYADIP CHAKRABORTY, Systers, an Anita Borg Institute Community",
RTEMS file descriptors and LwIP integration,SaCha,RTEMS Project,"Pavel Pisa, Hesham, Chris Johns",
Create a Ruby Wrapper for NASA's SPICE Toolkit,gaurav_tamba,Ruby Science Foundation,mohawkjohn,
Usability Hero: Rethinking the UI/UX,YongJie,TEAMMATES @ National University of Singapore,Truong Ngoc Khanh,
Implementing Pop-Routing,Gabriel_unname,Freifunk,Leonardo Maccari,
Accuracy Review of Wikipedia,prnk28,Wikimedia Foundation,"FaFlo, Jim Salsman",
Sysadmin - Revamping KDE's Project Management,Priya Satbhaya,KDE,Boudhayan Gupta,
Work with the Dockstore Team and the GA4GH to Enable Cross Docker Repository Sharing,ulim,Open Genome Informatics,briandoconnor,
Ruby Wrappers for SymEngine,Rajith Vidanaarachchi,Ruby Science Foundation,"Abinash Meher, zverok, mohawkjohn, ocertikgsoc@gmail.com",
Pushing conditions into non-mergeable views and derived tables in MariaDB,shagalla,MariaDB,"igor_seattle, spetrunia",
TAVERNA-880 Browse+use CWL tool descriptions,Thilina Manamgoda,Apache Software Foundation,Stian Soiland-Reyes,
Boolean-based Representations of Biological Systems,joshim5,Computational Biology @ University of Nebraska-Lincoln,"Bhanwar Lal Puniya, Tom Helikar",
GeneNetwork Genome Browser,christian_f,Open Bioinformatics Foundation,"dannyarends@gmail.com, Pjotrp.obf",
Apache Kudu Backend for Apache Htrace,Nisala Mendis,Apache Software Foundation,Colin P. McCabe,
NO PAD collations,D.M.,MariaDB,abarkov,
Integrating npm into the Guix ecosystem,jlicht,GNU Project,"David Thompson, Christopher Allan Webber",
KDevelop: LLDB Support,Aetf,KDE,Aleix Pol,
Web (Javascript / D3) based BPMN editor to support a subset of commonly used BPMN constructs,Heshan Jayasinghe,WSO2,Isuru Wijesinghe,
Project proposal for integration of Classic IDE and Project-oriented IDE,Mukarram,Unitex/GramLab,martinec,
Theano: GPU optimizations and operation support,tsirif,Python Software Foundation,"Frédéric Bastien, abergeron",
Sixtrack proposal,grisme,CERN SFT,Riccardo De Maria,
MACHINE LEARNING BASED CONTROLLING OF WHEELCHAIR USING BRAIN WAVES,NiteshK,FOSSASIA,MarioB,
Radiology Reporting Enhancement,ivange94,OpenMRS,"judy, teleivo",
Document Based NoSQL Support for  WSO2 Identity Server Database,Asantha Thilina,WSO2,"Johann Nallathamby, Tharindu Edirisinghe",
Cividroid 2.0,Mouna A,CiviCRM,Jagatheesan,
Implement RFC7512 PKCS#11 URI support and system integration,varunnaganathan,Mozilla,"Bob Relyea, David Woodhoue",
Incorporation of a malicious peer estimator for the CIS layer,dshaman92,P2PSP.org,"Cristóbal Medina, Leo",
